agent,bucket,count,wins,winrate
TaurosV0,chansey_mirror,10,10,1.0
TaurosV0,explosion_opportunity,179,136,0.7597765363128491
TaurosV0,forced_switch,190,154,0.8105263157894737
TaurosV0,low_hp_endgame,901,705,0.7824639289678136
TaurosV0,other,53,39,0.7358490566037735
TaurosV0,paralysis_spread,2047,1633,0.797752808988764
TaurosV0,recovery_loop,21,21,1.0
TaurosV0,sleep_pressure,848,665,0.7841981132075472
TaurosV0,snorlax_trade,5,1,0.2
TaurosV0,tauros_endgame,231,170,0.7359307359307359
FoulPlay,foul_play_attack_or_other,3233,701,0.21682647695638727
FoulPlay,foul_play_boom,56,12,0.21428571428571427
FoulPlay,foul_play_paralysis,747,168,0.2248995983935743
FoulPlay,foul_play_recovery,478,101,0.2112970711297071
FoulPlay,foul_play_sleep,25,5,0.2
